problem_id,is_valid,llm_solution_length,baseline_solution_length,unsolved_percentage,early_stop,deadend,error
BIN_003,False,4,7,66.66666666666667,True,False,
077,True,10,6,,,,
066,False,12,19,39.130434782608695,True,False,
078,False,4,6,33.333333333333336,True,False,
NFA_034,False,6,9,80.0,True,False,
BIN_018,False,5,6,50.0,True,False,
021,False,19,12,76.47058823529412,False,True,
BIN_034,False,7,7,33.333333333333336,False,True,
051,False,7,7,14.285714285714286,True,False,
NFA_024,False,5,8,77.77777777777777,True,False,
NFA_037,False,8,9,90.0,True,False,
043,False,15,8,25.0,True,False,
NFA_029,False,9,8,88.88888888888889,True,False,
074,False,6,6,16.666666666666668,True,False,
NFA_036,False,6,9,70.0,True,False,
BIN_000,False,7,5,92.3076923076923,True,False,
NFA_012,False,5,7,87.5,True,False,
079,False,8,10,92.85714285714286,True,False,
NFA_010,False,6,7,87.5,True,False,
BIN_012,False,14,8,14.285714285714286,True,False,
018,False,15,10,38.095238095238095,True,False,
NFA_028,False,8,8,88.88888888888889,True,False,
NFA_008,False,6,6,57.142857142857146,False,True,
BIN_002,False,8,6,20.0,True,False,
NFA_017,False,5,7,75.0,True,False,
052,False,13,13,81.81818181818181,True,False,
019,False,10,8,69.23076923076923,True,False,
053,True,6,3,,,,
NFA_032,False,7,9,80.0,True,False,
NFA_038,False,6,9,70.0,True,False,
NFA_015,False,5,7,50.0,True,False,
059,False,8,10,100.0,True,False,
BIN_014,True,10,6,,,,
BIN_036,False,14,,56.52173913043478,True,False,
061,False,9,8,19.047619047619047,True,False,
BIN_020,False,11,11,28.571428571428573,True,False,
046,True,8,7,,,,
BIN_024,False,20,12,42.857142857142854,True,False,
BIN_030,False,5,4,50.0,False,True,
BIN_016,False,19,8,10.0,True,False,
040,False,14,11,62.5,True,False,
BIN_022,False,9,10,55.55555555555556,True,False,
BIN_029,True,11,5,,,,
NFA_027,False,5,8,77.77777777777777,True,False,
BIN_038,False,12,6,33.333333333333336,True,False,
NFA_031,False,6,9,90.0,True,False,
054,True,16,8,,,,
BIN_001,False,3,4,100.0,True,False,
BIN_033,False,18,10,30.434782608695652,True,False,
047,False,6,5,40.0,True,False,
