problem_id,is_valid,llm_solution_length,baseline_solution_length,unsolved_percentage,early_stop,deadend,error
NFA_006,False,4,6,85.71428571428571,True,False,
NFA_001,False,4,6,85.71428571428571,True,False,
NFA_013,False,4,7,62.5,True,False,
044,False,3,5,100.0,True,False,
066,False,17,19,100.0,True,False,
BIN_012,False,13,8,14.285714285714286,True,False,
015,False,5,7,100.0,True,False,
030,False,5,8,100.0,True,False,
004,False,3,3,100.0,False,True,
BIN_016,False,18,8,10.0,True,False,
NFA_037,False,5,9,90.0,True,False,
003,False,10,12,100.0,True,False,
NFA_035,False,5,9,90.0,True,False,
073,False,2,3,100.0,True,False,
076,False,8,7,100.0,True,False,
BIN_005,False,6,5,76.92307692307692,True,False,
041,False,6,7,100.0,True,False,
BIN_020,False,16,11,100.0,True,False,
031,False,12,16,100.0,True,False,
025,False,4,7,100.0,True,False,
BIN_004,False,4,,75.0,False,True,
053,False,3,3,66.66666666666667,False,True,
052,False,7,13,100.0,True,False,
NFA_030,False,7,9,70.0,True,False,
NFA_007,False,4,6,71.42857142857143,True,False,
BIN_025,False,8,10,100.0,True,False,
042,False,6,7,100.0,True,False,
010,False,9,15,100.0,True,False,
BIN_001,False,2,4,100.0,True,False,
051,False,9,7,100.0,True,False,
006,False,7,8,100.0,True,False,
017,False,12,13,100.0,True,False,
BIN_011,False,5,6,66.66666666666667,True,False,
034,False,6,4,100.0,True,False,
BIN_006,False,9,15,100.0,True,False,
060,False,4,3,100.0,True,False,
036,False,8,13,100.0,True,False,
NFA_034,False,8,9,40.0,True,False,
NFA_000,False,4,6,57.142857142857146,True,False,
046,False,7,7,85.0,True,False,
022,False,8,6,100.0,True,False,
NFA_008,False,4,6,71.42857142857143,True,False,
023,False,11,12,100.0,True,False,
NFA_020,False,6,8,88.88888888888889,True,False,
NFA_021,False,5,8,88.88888888888889,True,False,
BIN_038,False,12,6,100.0,True,False,
011,False,4,11,94.11764705882354,True,False,
NFA_015,False,5,7,87.5,True,False,
NFA_036,False,6,9,80.0,True,False,
NFA_016,False,5,7,75.0,True,False,
