problem_id,is_valid,llm_solution_length,baseline_solution_length,unsolved_percentage,early_stop,deadend,error
BIN_003,False,5,7,40.0,True,False,
077,True,12,6,,,,
066,False,20,19,78.26086956521739,False,True,
078,False,4,6,33.333333333333336,True,False,
NFA_034,False,5,9,70.0,True,False,
BIN_018,False,10,6,16.666666666666668,True,False,
021,False,37,12,79.41176470588235,False,True,
BIN_034,False,6,7,33.333333333333336,False,True,
051,False,12,7,57.142857142857146,True,False,
NFA_024,False,6,8,66.66666666666667,True,False,
NFA_037,False,5,9,80.0,True,False,
043,False,8,8,25.0,True,False,
NFA_029,False,5,8,88.88888888888889,True,False,
074,False,8,6,16.666666666666668,False,True,
NFA_036,False,4,9,80.0,True,False,
BIN_000,False,6,5,23.076923076923077,False,True,
NFA_012,False,5,7,50.0,True,False,
079,False,10,10,85.71428571428571,False,True,
NFA_010,False,5,7,87.5,True,False,
BIN_012,False,14,8,14.285714285714286,True,False,
018,False,13,10,71.42857142857143,True,False,
NFA_028,False,5,8,88.88888888888889,True,False,
NFA_008,False,5,6,57.142857142857146,False,True,
BIN_002,False,6,6,60.0,True,False,
NFA_017,False,3,7,75.0,True,False,
052,False,12,13,81.81818181818181,True,False,
019,False,14,8,69.23076923076923,True,False,
053,True,6,3,,,,
NFA_032,False,4,9,80.0,True,False,
NFA_038,False,5,9,70.0,True,False,
NFA_015,False,5,7,50.0,True,False,
059,False,9,10,80.95238095238095,False,True,
BIN_014,False,7,6,18.75,True,False,
BIN_036,False,6,,39.130434782608695,True,False,
061,False,9,8,80.95238095238095,True,False,
BIN_020,False,18,11,17.857142857142858,False,True,
046,True,7,7,,,,
BIN_024,False,13,12,23.80952380952381,True,False,
BIN_030,False,6,4,100.0,True,False,
BIN_016,False,15,8,10.0,True,False,
040,False,10,11,62.5,True,False,
BIN_022,False,9,10,55.55555555555556,False,True,
BIN_029,True,6,5,,,,
NFA_027,False,5,8,66.66666666666667,True,False,
BIN_038,False,12,6,33.333333333333336,True,False,
NFA_031,False,4,9,80.0,True,False,
054,True,16,8,,,,
BIN_001,False,3,4,100.0,True,False,
BIN_033,False,19,10,30.434782608695652,True,False,
047,True,6,5,,,,
